ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
1,085L011,VERONA PORTA NUOVA,RFI (RETE FERROVIA ITALIANA),P.le XXV Aprile. Foglio 293 Particella 30  VERONA (VR),10.98260948159525,45.430065983844294,63,Al Suolo,21.65,
3,109L007,VICENZA,RFI (RETE FERROVIA ITALIANA),Stazione Ferroviaria c/o Scalo Merci. Foglio 46 Particella 216  VICENZA (VI),11.532238918344303,45.54220789857447,34.8,Al Suolo,25.15,
20,161L008,PORTOGRUARO C.,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  PORTOGRUARO (VE),12.828125246963843,45.78062016892689,3.5,Altro,20.65,
21,161L009,CEGGIA,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  CEGGIA (VE),12.633173519168801,45.688170806956514,3.7,Altro,24.95,
22,161L010,SAN DONA' DI PIAVE,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  SAN DONA' DI PIAVE (VE),12.562473485405922,45.64172155655737,2.5,Altro,18.65,
23,161L011,QUARTO D'ALTINO,RFI (RETE FERROVIA ITALIANA),c/o stazione FF.SS.  QUARTO D'ALTINO (VE),12.36784748142613,45.576972641814294,3,Altro,19.25,
29,2 VE 1060 B,San Marco 2,VODAFONE,c/o Palazzo Ferro Fini  VENEZIA (VE),12.334562990190468,45.43301900394036,1.64,Su edificio,27.9,
99,2_VE_06211 (VE028),MARGHERA ENEL CENTRALE,WIND,VIA DELL'ELETTRICITA'  VENEZIA (VE),12.23258790804237,45.46049188398749,2,Al Suolo,30.7,
119,2002_A,Malcesine,H3G,Via Gardesana  70  MALCESINE (VR),10.811313491944286,45.76578976012865,84.5,Su edificio,17.35,
123,246L010,SOMMACAMPAGNA,RFI (RETE FERROVIA ITALIANA),Via Bussolengo  347. Foglio 7 Particella 11  SOMMACAMPAGNA (VR),10.844520591466438,45.427483941399814,109.9,Al Suolo,25.15,
124,246L011,VR QUADRANTE EUROPA,RFI (RETE FERROVIA ITALIANA),V.le Della Stazione. Foglio 257 Particella 79  VERONA (VR),10.931303714300077,45.428479131633026,76.6,Al Suolo,31.15,
125,246L012,CALDIERO,RFI (RETE FERROVIA ITALIANA),Via dell'Artigianato  CALDIERO (VR),11.161724651311088,45.41591398447971,45.5,Al Suolo,31.15,
126,246L013,S: BONIFACIO,RFI (RETE FERROVIA ITALIANA),P.za Della Stazione. Foglio 28 Particella 13  SAN BONIFACIO (VR),11.272183950289902,45.403327063741,30.9,Al Suolo,20.65,
127,246L014,MONTEBELLO,RFI (RETE FERROVIA ITALIANA),Stazione Ferroviaria. Foglio 22 Particella 13  MONTEBELLO VICENTINO (VI),11.39199927833337,45.45370800736587,58.1,Al Suolo,25.15,
128,246L015,ALTAVILLA,RFI (RETE FERROVIA ITALIANA),Viale Della Stazione. Foglio 4 Particella 22  ALTAVILLA VICENTINA (VI),11.45581229904177,45.513291610551384,46.9,Al Suolo,25.15,
129,246L017,LERINO,RFI (RETE FERROVIA ITALIANA),Stazione Ferroviaria. Foglio 11 Particella 47  TORRI DI QUARTESOLO (VI),11.634468387389672,45.5204604051594,28.9,Al Suolo,19.15,
130,246L018,MESTRINO,RFI (RETE FERROVIA ITALIANA),Via C� Zen. Foglio 22 Particella 50  VILLAFRANCA PADOVANA (PD),11.774442904789085,45.45912103210594,19.8,Al Suolo,25.15,
131,246L020,PONTE DI BRENTA,RFI (RETE FERROVIA ITALIANA),Via Andreon. Foglio 22 Particella 24  VIGONZA (PD),11.951100506004964,45.4307636132903,15.9,Al Suolo,25.15,
132,246L022,VERONA PORTA VESCOVO,RFI (RETE FERROVIA ITALIANA),Stazione di Porta Vescovo. Foglio 220 Particella 251  VERONA (VR),11.01738979490305,45.43672970555619,53.8,Al Suolo,26.15,
133,246L023,PESCHIERA DEL GARDA,RFI (RETE FERROVIA ITALIANA),Stazione Ferroviaria. Foglio11 Particella 101  PESCHIERA DEL GARDA (VR),10.705564605992569,45.441094104181936,78.5,Al Suolo,20.65,
134,2484,Povegliano,H3G,Via del Preve  POVEGLIANO (TV),12.208933894036718,45.75383535608626,50,Altro,25.95,
135,2485_A,Corbanese,H3G,c/o campo sportivo  TARZO (TV),12.242014898974757,45.945539744985346,130.5,Altro,25.95,
136,251L012,PADOVA,RFI (RETE FERROVIA ITALIANA),c/o Piazzale della Stazione. Foglio 65 Particella 234  PADOVA (PD),11.879139231690411,45.4190008228959,11.2,Al Suolo,18.3,
137,259L002,LANCENIGO,RFI (RETE FERROVIA ITALIANA),c/o STAZIONE FF.SS.  VILLORBA (TV),12.266420487343728,45.71172634069397,24,Altro,26.3,
138,259L003,CONEGLIANO,RFI (RETE FERROVIA ITALIANA),P.le ALDO MORO  CONEGLIANO (TV),12.300529844963748,45.8858156554071,61,Altro,26.3,
139,259L004,SUSEGANA,RFI (RETE FERROVIA ITALIANA),c/o STAZIONE FF.SS.  SUSEGANA (TV),12.259120476249045,45.82242345762524,66.5,Altro,26.3,
144,2-PD-SAW001-A,Hotel Ibis Padova,VODAFONE,Corso Stati Uniti 14 B  PADOVA (PD),11.935032757402375,45.394821243346534,9.5,Su edificio,12.35,
162,2-VE-2657 A,Garibaldi,VODAFONE,Palazzetto dello sport Arsenale  VENEZIA (VE),12.351922201235558,45.43404953324001,2,Su edificio,19.6,
165,350S005,CONEGLIANO,RFI (RETE FERROVIA ITALIANA),Via Matteotti  CONEGLIANO (TV),12.305784207882784,45.887913831227756,61.7,Altro,25.6,
166,376L001,PIANZANO,RFI (RETE FERROVIA ITALIANA),Via Risorgimento  GODEGA DI SANT'URBANO (TV),12.383816334670621,45.91292693748586,46.3,Altro,25.59,
167,501,RAI-MF1-93e2-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,15,
168,502,RAI-MF2-96e5-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,15,
169,503,RAI-MF3-98e5-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,15,
170,504,RAI-MF4-101e5-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,25,
171,505,RAI-DVM1-490-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,34,
172,506,RAI-DVM2-546-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,34,
173,507,RAI-DVM3-514-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,34,
176,510,TELEARENA,TELEARENA S.p.A.,Largo Perlar  2 - Palazzo Bauli  VERONA (VR),10.976800326155177,45.40941865243225,60,Su edificio,31,
179,513,RADIO S. TERESA,ASSOCIAZIONE MOSAICO,Via Volturno - Campanile Chiesa S. Teresa  VERONA (VR),10.987459735615728,45.419288067954824,61,Altro,45,
180,514,TELE VERONA,VIDEODELTA,Viale Piave - Cartiera Fedrigoni  VERONA (VR),10.987888142456953,45.42966814056069,61,Altro,25,
181,515,TELENUOVO - RETE NORD,EDITRICE T.N.V.,Viale Piave - Cartiera Fedrigoni  VERONA (VR),10.987888142456953,45.42966814056069,61,Su edificio,25,
